epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.09214,1.19895,3.31229,1.23529,0.00333,1,0.05655,0.04137,1.05455,3.51193,1.19133,0.0005,0.0005,0.0005
2,3.607,1.15685,3.24241,1.12143,0.00333,1,0.0864,0.06554,1.08048,3.49761,1.19781,0.00115512,0.00115512,0.00115512
3,4.05444,1.11423,3.11043,1.16108,0.00333,1,0.0864,0.06554,1.08048,3.49761,1.19781,0.00179703,0.00179703,0.00179703
4,4.53878,0.99156,3.23252,1.10546,0.00333,1,0.09285,0.06818,1.16449,3.46877,1.20809,0.0019406,0.0019406,0.0019406
5,5.0098,1.12158,3.25247,1.18673,0.00333,1,0.09285,0.06818,1.16449,3.46877,1.20809,0.0019208,0.0019208,0.0019208
6,5.46592,1.06019,3.36782,1.17661,0.00333,1,0.05412,0.01611,1.07685,3.49343,1.23514,0.001901,0.001901,0.001901
7,5.89113,1.26128,3.38869,1.21961,0.00333,1,0.01923,0.00823,1.15424,3.50073,1.26604,0.0018812,0.0018812,0.0018812
8,6.33326,1.10456,3.17539,1.16297,0.00333,1,0.01923,0.00823,1.15424,3.50073,1.26604,0.0018614,0.0018614,0.0018614
9,6.86813,1.59901,3.64401,1.53655,0.00362,0.5,0.03612,0.00693,1.9519,4.44368,2.15538,0.0018416,0.0018416,0.0018416
10,7.37192,3.01493,5.82566,2.52822,0.00362,0.5,0.03612,0.00693,1.9519,4.44368,2.15538,0.0018218,0.0018218,0.0018218
11,7.90178,2.85328,5.28233,2.64746,0.016,0.33333,0.04242,0.01348,2.28256,4.51303,2.38155,0.001802,0.001802,0.001802
12,8.42865,3.07149,5.56968,2.6081,0.016,0.33333,0.04242,0.01348,2.28256,4.51303,2.38155,0.0017822,0.0017822,0.0017822
13,8.92008,2.36016,4.31375,1.95123,0.00222,0.66667,0.02158,0.00623,2.01377,4.73602,2.37067,0.0017624,0.0017624,0.0017624
14,9.42751,2.11242,3.65076,1.92383,0.00222,0.66667,0.00595,0.00088,2.02505,4.59907,2.0766,0.0017426,0.0017426,0.0017426
15,9.99055,1.45353,3.32978,1.65477,0.00222,0.66667,0.00595,0.00088,2.02505,4.59907,2.0766,0.0017228,0.0017228,0.0017228
16,10.5662,1.50974,3.10023,1.64619,0.00167,0.5,0.0022,0.00048,2.06077,5.78944,4.02215,0.001703,0.001703,0.001703
17,11.0676,1.27282,3.39722,1.46448,0.00167,0.5,0.0022,0.00048,2.06077,5.78944,4.02215,0.0016832,0.0016832,0.0016832
18,11.5928,1.23817,3.08547,1.38627,0.00333,1,0.00575,0.00238,1.71366,4.38237,2.42566,0.0016634,0.0016634,0.0016634
19,12.0848,1.33292,3.0161,1.46276,0.00333,1,0.00575,0.00238,1.71366,4.38237,2.42566,0.0016436,0.0016436,0.0016436
20,12.5751,1.19819,2.61949,1.35681,0.04201,0.5,0.03667,0.01674,1.65781,4.43937,1.95806,0.0016238,0.0016238,0.0016238
21,13.048,1.01439,2.4572,1.23517,0.12032,0.33333,0.21575,0.08956,1.61747,7.10471,1.81876,0.001604,0.001604,0.001604
22,13.6314,1.09556,2.05519,1.2409,0.12032,0.33333,0.21575,0.08956,1.61747,7.10471,1.81876,0.0015842,0.0015842,0.0015842
23,14.1315,1.06204,2.18441,1.25241,0.03371,0.33333,0.02279,0.00795,2.05896,16.7517,5.15367,0.0015644,0.0015644,0.0015644
24,14.6089,1.08147,1.98777,1.32369,0.03371,0.33333,0.02279,0.00795,2.05896,16.7517,5.15367,0.0015446,0.0015446,0.0015446
25,15.1135,1.09618,2.03718,1.32929,0.02743,0.33333,0.01896,0.00843,2.00439,15.0601,4.28214,0.0015248,0.0015248,0.0015248
26,15.6357,1.05613,2.0535,1.22346,0.02743,0.33333,0.01896,0.00843,2.00439,15.0601,4.28214,0.001505,0.001505,0.001505
27,16.108,0.96829,1.88452,1.16218,0.10302,0.33333,0.07337,0.03548,1.78007,17.4356,3.02374,0.0014852,0.0014852,0.0014852
28,16.5919,1.02117,1.98949,1.19322,0.375,0.5,0.20594,0.09278,1.87258,15.0818,2.19712,0.0014654,0.0014654,0.0014654
29,17.0878,0.98881,1.92435,1.19849,0.375,0.5,0.20594,0.09278,1.87258,15.0818,2.19712,0.0014456,0.0014456,0.0014456
30,17.6091,1.04908,1.54677,1.14836,0.0418,0.5,0.03535,0.01838,1.8238,48.9156,1.98847,0.0014258,0.0014258,0.0014258
31,18.111,0.87467,1.45748,1.1029,0.0418,0.5,0.03535,0.01838,1.8238,48.9156,1.98847,0.001406,0.001406,0.001406
32,18.6238,1.05746,2.06755,1.15372,0.5,0.16667,0.19938,0.14498,1.37866,35.2422,1.54789,0.0013862,0.0013862,0.0013862
33,19.1127,0.98655,1.80088,1.14756,0.5,0.16667,0.19938,0.14498,1.37866,35.2422,1.54789,0.0013664,0.0013664,0.0013664
34,19.6417,0.99965,1.81252,1.22593,0.54408,0.79891,0.68659,0.39683,1.31616,4.82045,1.82722,0.0013466,0.0013466,0.0013466
35,20.1576,1.01167,1.72871,1.29194,0.61273,0.5,0.64964,0.44643,1.32218,4.81951,1.63496,0.0013268,0.0013268,0.0013268
36,20.638,1.01377,1.54571,1.19502,0.61273,0.5,0.64964,0.44643,1.32218,4.81951,1.63496,0.001307,0.001307,0.001307
37,21.1745,0.87559,1.42306,1.09378,0.30639,0.66667,0.61703,0.45291,1.31461,6.19767,1.68691,0.0012872,0.0012872,0.0012872
38,21.7094,0.85395,1.41286,1.06178,0.30639,0.66667,0.61703,0.45291,1.31461,6.19767,1.68691,0.0012674,0.0012674,0.0012674
39,22.2217,0.87955,1.3178,1.05849,0.41187,0.66667,0.66084,0.40988,1.10394,6.26665,1.41026,0.0012476,0.0012476,0.0012476
40,22.7296,0.83794,1.38611,1.05169,0.41187,0.66667,0.66084,0.40988,1.10394,6.26665,1.41026,0.0012278,0.0012278,0.0012278
41,23.2214,0.92372,1.35043,1.09937,0.4208,0.66667,0.58389,0.38204,1.06193,6.63577,1.39405,0.001208,0.001208,0.001208
42,23.7397,0.84554,1.37164,1.11784,0.39431,0.66667,0.55013,0.41192,1.20603,6.47132,1.77029,0.0011882,0.0011882,0.0011882
43,24.2247,0.84924,1.3474,1.04459,0.39431,0.66667,0.55013,0.41192,1.20603,6.47132,1.77029,0.0011684,0.0011684,0.0011684
44,24.7454,0.85089,1.253,1.0947,0.42069,0.83333,0.62555,0.41841,1.06942,6.0439,1.40125,0.0011486,0.0011486,0.0011486
45,25.2322,0.83965,1.32774,1.05028,0.42069,0.83333,0.62555,0.41841,1.06942,6.0439,1.40125,0.0011288,0.0011288,0.0011288
46,25.748,0.79745,1.40329,1.10173,0.63832,0.8866,0.85833,0.62787,1.0022,3.70442,1.17136,0.001109,0.001109,0.001109
47,26.2646,0.8109,1.11817,1.04647,0.63832,0.8866,0.85833,0.62787,1.0022,3.70442,1.17136,0.0010892,0.0010892,0.0010892
48,26.7834,0.8511,1.19657,1.02214,0.65286,1,0.87167,0.68024,0.91207,2.74417,1.22803,0.0010694,0.0010694,0.0010694
49,27.2813,0.90506,1.23452,1.12088,0.62815,1,0.71833,0.51294,0.9008,3.2407,1.18297,0.0010496,0.0010496,0.0010496
50,27.7814,0.80707,1.29341,1.04554,0.62815,1,0.71833,0.51294,0.9008,3.2407,1.18297,0.0010298,0.0010298,0.0010298
